id_municipio,sigla_uf,ano,meta,metodologia
1100189,RO,2025,0.7279,herda_trajetoria_uf_v1
1100189,RO,2026,0.7823,herda_trajetoria_uf_v1
1100189,RO,2027,0.8368,herda_trajetoria_uf_v1
1100189,RO,2028,0.8912,herda_trajetoria_uf_v1
1100189,RO,2029,0.9456,herda_trajetoria_uf_v1
1100189,RO,2030,1.0,herda_trajetoria_uf_v1
1100205,RO,2024,0.6735,herda_trajetoria_uf_v1
1100205,RO,2025,0.7279,herda_trajetoria_uf_v1
1100205,RO,2026,0.7823,herda_trajetoria_uf_v1
1100205,RO,2027,0.8368,herda_trajetoria_uf_v1
1100205,RO,2028,0.8912,herda_trajetoria_uf_v1
1100205,RO,2029,0.9456,herda_trajetoria_uf_v1
1100205,RO,2030,1.0,herda_trajetoria_uf_v1
1100254,RO,2024,0.6735,herda_trajetoria_uf_v1
1100254,RO,2025,0.7279,herda_trajetoria_uf_v1
1100254,RO,2026,0.7823,herda_trajetoria_uf_v1
1100254,RO,2027,0.8368,herda_trajetoria_uf_v1
1100254,RO,2028,0.8912,herda_trajetoria_uf_v1
1100254,RO,2029,0.9456,herda_trajetoria_uf_v1
1100254,RO,2030,1.0,herda_trajetoria_uf_v1
1100262,RO,2024,0.6735,herda_trajetoria_uf_v1
1100262,RO,2025,0.7279,herda_trajetoria_uf_v1
1100262,RO,2026,0.7823,herda_trajetoria_uf_v1
1100262,RO,2027,0.8368,herda_trajetoria_uf_v1
1100262,RO,2028,0.8912,herda_trajetoria_uf_v1
1100262,RO,2029,0.9456,herda_trajetoria_uf_v1
1100262,RO,2030,1.0,herda_trajetoria_uf_v1
1100288,RO,2024,0.6735,herda_trajetoria_uf_v1
1100288,RO,2025,0.7279,herda_trajetoria_uf_v1
1100288,RO,2026,0.7823,herda_trajetoria_uf_v1
1100288,RO,2027,0.8368,herda_trajetoria_uf_v1
1100288,RO,2028,0.8912,herda_trajetoria_uf_v1
1100288,RO,2029,0.9456,herda_trajetoria_uf_v1
1100288,RO,2030,1.0,herda_trajetoria_uf_v1
1100296,RO,2024,0.6735,herda_trajetoria_uf_v1
1100296,RO,2025,0.7279,herda_trajetoria_uf_v1
